Person,Age,Gender,State,Children,Salary,Opinion,,,
105,Middle-aged,2,Ohio,0,132182.00,Strongly disagree,,,
106,Middle-aged,2,Illinois,2,101475.00,Strongly agree,,,
107,Middle-aged,2,Michigan,1,72888.00,Strongly agree,,,
108,Middle-aged,2,Virginia,2,140022.00,Strongly disagree,,,
109,Middle-aged,1,Arizona,2,144335.00,Neutral,,,
110,Elderly,2,California,1,77506.00,Strongly agree,,,
111,Middle-aged,2,Ohio,2,106139.00,Agree,,,
112,Middle-aged,1,Ohio,0,93790.00,Agree,,,
113,Middle-aged,1,Ohio,3,98341.00,Strongly agree,,,
114,Middle-aged,1,Michigan,0,133741.00,Strongly agree,,,
115,Middle-aged,1,Michigan,0,88427.00,Disagree,,,
116,Middle-aged,2,New York,2,144518.00,Disagree,,,
117,Young,1,New York,0,72239.00,Neutral,,,
118,Elderly,2,Ohio,0,74438.00,Strongly agree,,,
119,Elderly,2,Ohio,0,59629.00,Neutral,,,
120,Middle-aged,2,Arizona,2,79122.00,Strongly agree,,,
121,Elderly,2,Florida,3,75892.00,Strongly disagree,,,
122,Middle-aged,1,Ohio,2,127032.00,Strongly disagree,,,
123,Elderly,2,Michigan,1,65626.00,Neutral,,,
124,Middle-aged,2,New York,0,103667.00,Disagree,,,
125,Middle-aged,2,Texas,0,131312.00,Strongly disagree,,,
126,Middle-aged,2,Arizona,0,109677.00,Agree,,,
127,Middle-aged,2,New York,2,111921.00,Strongly agree,,,
128,Elderly,1,Michigan,2,83914.00,Strongly disagree,,,
129,Elderly,2,Virginia,2,69622.00,Disagree,,,
130,Young,1,Virginia,1,52163.00,Disagree,,,
131,Elderly,2,Texas,0,96274.00,Agree,,,
132,Young,2,Ohio,2,54784.00,Agree,,,
133,Middle-aged,1,New York,0,97814.00,Disagree,,,
134,Middle-aged,1,Illinois,2,77804.00,Neutral,,,
135,Middle-aged,2,New York,2,103419.00,Agree,,,
136,Middle-aged,2,Minnesota,0,91844.00,Strongly agree,,,
137,Elderly,2,California,0,84163.00,Disagree,,,
138,Young,2,Florida,2,46015.00,Disagree,,,
139,Middle-aged,2,Texas,3,64443.00,Agree,,,
140,Middle-aged,2,Texas,1,90218.00,Disagree,,,
141,Middle-aged,1,Ohio,1,110627.00,Strongly disagree,,,
142,Elderly,1,Minnesota,0,58608.00,Strongly agree,,,
143,Middle-aged,2,Florida,2,115555.00,Strongly agree,,,
144,Elderly,1,New York,0,44155.00,Disagree,,,
145,Elderly,2,Florida,2,60375.00,Agree,,,
146,Middle-aged,2,California,2,115659.00,Strongly disagree,,,
147,Elderly,1,Florida,1,77152.00,Agree,,,
148,Middle-aged,1,California,0,132176.00,Disagree,,,
149,Young,2,California,0,53306.00,Neutral,,,
150,Young,2,Florida,2,41978.00,Strongly disagree,,,
151,Elderly,1,Virginia,0,72423.00,Strongly disagree,,,
152,Young,1,Florida,3,49165.00,Agree,,,
153,Elderly,2,Arizona,0,92888.00,Strongly agree,,,
154,Middle-aged,2,Illinois,1,108552.00,Disagree,,,
155,Middle-aged,2,Minnesota,1,111796.00,Agree,,,
156,Young,1,Ohio,0,51612.00,Neutral,,,
157,Elderly,1,California,0,81099.00,Disagree,,,
158,Elderly,2,Illinois,3,74219.00,Neutral,,,
159,Young,1,Texas,0,57217.00,Strongly agree,,,
160,Middle-aged,2,Michigan,2,43824.00,Strongly agree,,,
161,Elderly,1,Michigan,1,64658.00,Strongly agree,,,
162,Middle-aged,1,Illinois,0,92025.00,Agree,,,
163,Young,2,Ohio,3,51169.00,Neutral,,,
164,Middle-aged,1,New York,2,124005.00,Neutral,,,
165,Middle-aged,2,Michigan,0,82101.00,Neutral,,,
166,Middle-aged,2,Illinois,1,111213.00,Agree,,,
167,Middle-aged,2,Virginia,1,71078.00,Strongly disagree,,,
168,Middle-aged,1,New York,2,124798.00,Agree,,,
169,Young,2,Michigan,1,36564.00,Agree,,,
170,Middle-aged,2,Texas,0,82327.00,Agree,,,
171,Middle-aged,1,Michigan,0,119992.00,Disagree,,,
172,Middle-aged,2,Florida,2,160134.00,Neutral,,,
173,Elderly,1,Texas,2,92538.00,Agree,,,
174,Elderly,2,Ohio,1,46243.00,Agree,,,
175,Middle-aged,2,Minnesota,2,104772.00,Agree,,,
176,Middle-aged,1,Minnesota,0,85603.00,Strongly disagree,,,
177,Middle-aged,2,Florida,2,75997.00,Neutral,,,
178,Middle-aged,2,New York,2,84313.00,Neutral,,,
179,Middle-aged,1,New York,2,98889.00,Disagree,,,
180,Young,2,Ohio,2,28124.00,Disagree,,,
181,Elderly,2,Minnesota,2,79212.00,Strongly disagree,,,
182,Elderly,1,Michigan,2,85301.00,Disagree,,,
183,Middle-aged,2,Texas,0,59157.00,Disagree,,,
184,Middle-aged,2,Michigan,1,70989.00,Disagree,,,
185,Young,1,Virginia,1,65992.00,Agree,,,
186,Young,2,California,0,46848.00,Strongly disagree,,,
187,Young,2,New York,2,45950.00,Neutral,,,
188,Elderly,2,Michigan,2,78500.00,Strongly disagree,,,
189,Middle-aged,2,California,2,88561.00,Agree,,,
190,Middle-aged,2,Ohio,0,121206.00,Neutral,,,
191,Middle-aged,1,Minnesota,1,109315.00,Disagree,,,
192,Middle-aged,2,Ohio,1,85732.00,Strongly agree,,,
193,Young,1,Minnesota,2,41774.00,Neutral,,,
194,Middle-aged,1,Illinois,3,80193.00,Strongly agree,,,
195,Elderly,1,Michigan,0,76193.00,Agree,,,
196,Young,1,California,1,57429.00,Strongly disagree,,,
197,Young,1,Arizona,0,37929.00,Strongly agree,,,
198,Middle-aged,2,Texas,2,65563.00,Neutral,,,
199,Middle-aged,2,Ohio,3,129493.00,Neutral,,,
200,Middle-aged,1,Ohio,0,107931.00,Neutral,,,
201,Elderly,2,Florida,2,69700.00,Strongly disagree,,,
202,Elderly,1,New York,2,57713.00,Strongly agree,,,
203,Elderly,2,Virginia,2,62043.00,Strongly disagree,,,
204,Middle-aged,1,Minnesota,1,86840.00,Disagree,,,
205,Elderly,2,Texas,2,84185.00,Agree,,,
206,Elderly,1,Illinois,0,81163.00,Disagree,,,
207,Young,1,Florida,3,47017.00,Agree,,,
208,Middle-aged,1,California,2,107069.00,Disagree,,,
209,Middle-aged,1,Illinois,0,73224.00,Neutral,,,
210,Middle-aged,1,Virginia,2,79244.00,Neutral,,,
211,Elderly,2,Minnesota,1,72263.00,Agree,,,
212,Middle-aged,1,Florida,2,95760.00,Strongly agree,,,
213,Middle-aged,2,New York,0,101962.00,Disagree,,,
214,Elderly,2,Texas,1,79204.00,Neutral,,,
215,Middle-aged,2,Michigan,2,84005.00,Neutral,,,
216,Young,1,Arizona,0,43045.00,Strongly agree,,,
217,Elderly,1,Florida,0,65530.00,Strongly agree,,,
218,Middle-aged,2,Michigan,2,129494.00,Strongly disagree,,,
219,Middle-aged,2,New York,0,110945.00,Strongly agree,,,
220,Middle-aged,2,Texas,2,110102.00,Disagree,,,
221,Middle-aged,1,Illinois,3,94296.00,Disagree,,,
222,Middle-aged,2,Illinois,0,103500.00,Strongly agree,,,
223,Young,2,Michigan,2,50386.00,Strongly disagree,,,
224,Young,2,Illinois,2,23109.00,Strongly disagree,,,
225,Elderly,2,Ohio,2,101526.00,Disagree,,,
226,Elderly,2,Michigan,2,88448.00,Disagree,,,
227,Middle-aged,2,Texas,1,83191.00,Strongly disagree,,,
228,Middle-aged,1,Michigan,2,150149.00,Strongly agree,,,
229,Middle-aged,1,Arizona,1,148014.00,Neutral,,,
230,Young,2,Michigan,0,53071.00,Strongly disagree,,,
231,Middle-aged,2,Florida,2,103708.00,Neutral,,,
232,Young,2,Illinois,1,55677.00,Agree,,,
233,Young,1,Illinois,3,40741.00,Disagree,,,
234,Middle-aged,2,New York,2,99813.00,Agree,,,
235,Middle-aged,1,Michigan,2,86791.00,Strongly disagree,,,
236,Middle-aged,1,New York,0,110389.00,Strongly agree,,,
237,Middle-aged,2,Minnesota,1,93524.00,Neutral,,,
238,Middle-aged,2,Minnesota,2,78578.00,Disagree,,,
239,Young,2,Virginia,0,36973.00,Strongly agree,,,
240,Middle-aged,1,Michigan,1,100009.00,Disagree,,,
241,Middle-aged,1,Ohio,2,91299.00,Strongly disagree,,,
242,Young,2,Florida,0,52109.00,Disagree,,,
243,Young,2,California,3,44176.00,Disagree,,,
244,Middle-aged,1,Florida,1,77085.00,Agree,,,
245,Young,1,Florida,2,47096.00,Strongly agree,,,
246,Middle-aged,2,California,2,77753.00,Strongly disagree,,,
247,Middle-aged,2,New York,2,100062.00,Strongly agree,,,
248,Middle-aged,2,Illinois,2,131489.00,Strongly disagree,,,
249,Young,1,Michigan,0,51081.00,Agree,,,
250,Young,2,Minnesota,1,31314.00,Strongly agree,,,
251,Middle-aged,1,California,2,62454.00,Strongly disagree,,,
252,Young,1,Virginia,0,53173.00,Disagree,,,
253,Elderly,2,Michigan,0,54506.00,Strongly disagree,,,
254,Elderly,2,Michigan,2,84168.00,Neutral,,,
255,Middle-aged,2,Texas,0,109022.00,Disagree,,,
256,Elderly,2,Arizona,3,60242.00,Agree,,,
257,Middle-aged,2,Minnesota,3,134254.00,Agree,,,
258,Middle-aged,2,Michigan,1,107768.00,Neutral,,,
259,Elderly,1,Texas,2,79433.00,Agree,,,
260,Middle-aged,2,New York,2,110266.00,Agree,,,
261,Elderly,1,Ohio,0,66120.00,Strongly agree,,,
262,Middle-aged,1,New York,2,83848.00,Disagree,,,
263,Middle-aged,2,New York,0,69546.00,Strongly agree,,,
264,Elderly,2,Minnesota,2,65085.00,Disagree,,,
265,Middle-aged,1,Minnesota,2,73359.00,Neutral,,,
266,Young,2,Texas,1,36749.00,Agree,,,
267,Elderly,1,Florida,2,91007.00,Strongly disagree,,,
268,Middle-aged,1,New York,0,76408.00,Strongly agree,,,
269,Middle-aged,2,Texas,0,84572.00,Strongly agree,,,
270,Middle-aged,1,Minnesota,3,107253.00,Strongly disagree,,,
271,Young,2,Minnesota,1,60924.00,Disagree,,,
272,Young,2,Michigan,0,50516.00,Strongly disagree,,,
273,Elderly,2,Michigan,0,84571.00,Agree,,,
274,Middle-aged,2,Minnesota,2,78090.00,Strongly agree,,,
275,Middle-aged,2,Florida,2,90190.00,Neutral,,,
276,Middle-aged,2,Virginia,0,45516.00,Neutral,,,
277,Young,2,Ohio,2,23657.00,Strongly agree,,,
278,Young,2,New York,3,45022.00,Strongly agree,,,
279,Middle-aged,2,Florida,2,109270.00,Agree,,,
280,Elderly,1,Texas,3,95962.00,Neutral,,,
281,Middle-aged,2,Michigan,1,94339.00,Neutral,,,
282,Elderly,1,Illinois,0,83768.00,Agree,,,
283,Elderly,2,Ohio,1,68783.00,Disagree,,,
284,Elderly,2,Ohio,0,75011.00,Disagree,,,
285,Middle-aged,1,New York,2,110140.00,Agree,,,
286,Middle-aged,2,New York,0,122617.00,Strongly disagree,,,
287,Middle-aged,2,Texas,1,91557.00,Strongly disagree,,,
288,Middle-aged,1,Ohio,2,75359.00,Agree,,,
289,Middle-aged,2,Ohio,0,76219.00,Strongly disagree,,,
290,Elderly,1,Michigan,0,84038.00,Neutral,,,
291,Middle-aged,2,Ohio,0,84454.00,Agree,,,
292,Elderly,2,Michigan,0,74623.00,Strongly disagree,,,
293,Young,2,Michigan,2,58544.00,Strongly agree,,,
294,Elderly,2,California,2,59906.00,Disagree,,,
295,Young,2,Florida,2,38514.00,Strongly disagree,,,
296,Middle-aged,2,Illinois,0,83326.00,Disagree,,,
297,Elderly,1,Illinois,3,72085.00,Strongly disagree,,,
298,Elderly,1,Florida,1,73618.00,Disagree,,,
299,Middle-aged,2,Texas,1,101325.00,Strongly agree,,,
300,Middle-aged,1,Ohio,0,73823.00,Strongly disagree,,,
301,Middle-aged,1,New York,2,86538.00,Disagree,,,
302,Middle-aged,1,Virginia,0,76810.00,Neutral,,,
303,Young,1,Virginia,2,44006.00,Strongly disagree,,,
304,Young,2,California,1,46239.00,Strongly agree,,,
305,Middle-aged,1,Texas,0,75250.00,Neutral,,,
306,Elderly,2,Ohio,2,74751.00,Strongly agree,,,
307,Young,1,California,2,52686.00,Strongly agree,,,
308,Elderly,2,Texas,1,75365.00,Strongly disagree,,,
309,Middle-aged,1,Illinois,3,103556.00,Agree,,,
310,Elderly,1,Minnesota,2,69817.00,Strongly agree,,,
311,Middle-aged,1,Florida,2,20735.00,Neutral,,,
312,Young,2,New York,2,20687.00,Strongly agree,,,
313,Elderly,1,Illinois,3,97975.00,Disagree,,,
314,Middle-aged,1,Virginia,2,98774.00,Agree,,,
315,Middle-aged,1,Virginia,2,85412.00,Disagree,,,
316,Middle-aged,1,Arizona,0,71280.00,Strongly agree,,,
317,Young,1,Arizona,1,38114.00,Strongly agree,,,
318,Middle-aged,1,Minnesota,2,66348.00,Strongly agree,,,
319,Middle-aged,1,Arizona,1,60580.00,Disagree,,,
320,Young,2,Michigan,2,43604.00,Agree,,,
321,Middle-aged,2,Minnesota,0,68017.00,Disagree,,,
322,Young,2,Virginia,2,44107.00,Disagree,,,
323,Elderly,2,Texas,2,76391.00,Agree,,,
324,Young,1,Arizona,0,43773.00,Agree,,,
325,Middle-aged,1,Illinois,2,96949.00,Disagree,,,
326,Middle-aged,1,Illinois,1,91331.00,Strongly agree,,,
327,Middle-aged,1,Florida,2,119453.00,Agree,,,
328,Young,2,Texas,2,48643.00,Disagree,,,
329,Elderly,2,Texas,0,37289.00,Disagree,,,
330,Middle-aged,1,Texas,0,126369.00,Disagree,,,
331,Young,1,Arizona,2,40883.00,Disagree,,,
332,Elderly,1,Arizona,2,82092.00,Strongly disagree,,,
333,Young,1,Virginia,2,36607.00,Neutral,,,
334,Elderly,2,Ohio,2,78030.00,Strongly disagree,,,
335,Young,1,Michigan,1,48225.00,Neutral,,,
336,Elderly,1,New York,0,91183.00,Strongly disagree,,,
337,Elderly,2,Texas,0,78850.00,Disagree,,,
338,Middle-aged,2,Illinois,2,70903.00,Agree,,,
339,Middle-aged,2,Texas,2,116079.00,Disagree,,,
340,Young,2,Virginia,2,38258.00,Neutral,,,
341,Middle-aged,2,Illinois,0,80701.00,Disagree,,,
342,Elderly,2,Minnesota,0,75851.00,Strongly agree,,,
343,Middle-aged,2,Ohio,1,106828.00,Neutral,,,
344,Young,1,Virginia,2,44628.00,Neutral,,,
345,Middle-aged,2,Arizona,1,95833.00,Neutral,,,
346,Elderly,2,New York,0,64293.00,Agree,,,
347,Middle-aged,2,New York,2,52008.00,Strongly disagree,,,
348,Middle-aged,2,Michigan,0,91531.00,Strongly agree,,,
349,Middle-aged,1,California,1,108418.00,Strongly agree,,,
350,Middle-aged,2,Florida,0,48975.00,Disagree,,,
351,Young,2,Arizona,1,49687.00,Agree,,,
352,Young,1,New York,2,44964.00,Strongly disagree,,,
353,Middle-aged,2,Illinois,2,94679.00,Disagree,,,
354,Young,2,Ohio,2,44511.00,Agree,,,
355,Middle-aged,1,New York,2,85886.00,Strongly agree,,,
356,Young,1,Virginia,1,50729.00,Strongly agree,,,
357,Middle-aged,2,California,2,78689.00,Strongly agree,,,
358,Middle-aged,2,Ohio,0,102405.00,Strongly disagree,,,
359,Young,2,Texas,2,69785.00,Disagree,,,
360,Middle-aged,2,Virginia,2,132655.00,Strongly disagree,,,
361,Elderly,2,Minnesota,2,83433.00,Strongly agree,,,
362,Middle-aged,2,Texas,0,85489.00,Agree,,,
363,Elderly,2,Michigan,1,64844.00,Strongly disagree,,,
364,Young,1,Arizona,3,42300.00,Disagree,,,
365,Middle-aged,2,Michigan,2,109819.00,Agree,,,
366,Elderly,1,Virginia,0,68506.00,Strongly agree,,,
367,Middle-aged,1,Illinois,0,38235.00,Strongly agree,,,
368,Middle-aged,2,Florida,2,84146.00,Agree,,,
369,Middle-aged,1,Virginia,2,94455.00,Strongly agree,,,
370,Middle-aged,1,California,1,87854.00,Neutral,,,
371,Elderly,1,Ohio,0,64879.00,Neutral,,,
372,Elderly,1,Illinois,2,56140.00,Strongly disagree,,,
373,Middle-aged,1,Ohio,2,90675.00,Agree,,,
374,Middle-aged,2,Ohio,2,109417.00,Agree,,,
375,Elderly,2,New York,2,79958.00,Neutral,,,
376,Young,2,Arizona,0,41126.00,Agree,,,
377,Middle-aged,2,Illinois,1,78374.00,Agree,,,
378,Middle-aged,1,Michigan,0,90021.00,Agree,,,
379,Middle-aged,2,Florida,0,86486.00,Agree,,,
380,Elderly,2,Michigan,3,95120.00,Strongly agree,,,
381,Young,2,Virginia,2,46198.00,Neutral,,,
382,Middle-aged,1,Minnesota,0,134634.00,Strongly agree,,,
383,Young,2,Florida,2,49538.00,Disagree,,,
384,Middle-aged,2,Minnesota,1,87254.00,Neutral,,,
385,Middle-aged,1,New York,1,78483.00,Agree,,,
386,Elderly,1,Ohio,0,80256.00,Neutral,,,
387,Elderly,2,Ohio,2,87059.00,Neutral,,,
388,Young,1,Minnesota,1,43918.00,Strongly agree,,,
389,Middle-aged,2,Virginia,1,80112.00,Strongly disagree,,,
390,Young,2,Florida,2,47293.00,Strongly disagree,,,
391,Middle-aged,2,Texas,1,72802.00,Agree,,,
392,Young,1,Arizona,1,50434.00,Strongly disagree,,,
393,Middle-aged,1,Texas,3,100403.00,Agree,,,
394,Middle-aged,1,New York,2,43644.00,Neutral,,,
395,Middle-aged,2,California,0,60715.00,Neutral,,,
396,Middle-aged,1,Virginia,2,91760.00,Disagree,,,
397,Middle-aged,2,Arizona,1,82558.00,Strongly disagree,,,
398,Middle-aged,1,New York,1,84880.00,Strongly agree,,,
399,Middle-aged,2,Illinois,2,76933.00,Strongly agree,,,
